#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
애드혹 네트워크	Ad-hoc Network	기지국 없이 이동 노드들이 자율적으로 구성하는 임시 네트워크	재난 현장, 군사 통신에 사용한다.	기지국이 없는 산악 훈련에서 단말끼리 즉석으로 망을 만든다.	기반 시설 없이 즉석(ad hoc).	Mesh Network / VANET	기반 시설 없음 = 애드혹.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
VANET	Vehicular Ad-hoc Network	차량 간 또는 차량과 인프라 간 통신을 위한 애드혹 네트워크	자동차 안전 서비스에 쓴다.	앞차의 급제동을 뒤차에 알려 주는 차량 간 통신.	Vehicular — 차량.	애드혹 네트워크 / Mesh Network	차량 = VANET.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
SDN	Software Defined Network	네트워크 제어 평면과 데이터 평면을 분리해 소프트웨어로 제어하는 네트워크	중앙 컨트롤러가 네트워크 전체를 프로그래밍한다. NFV와 함께 출제된다.	데이터센터에서 스위치 수백 대의 경로를 중앙 컨트롤러가 코드로 바꾼다.	제어 평면과 데이터 평면을 분리.	NFV / SDP / Mesh Network	제어와 전송 분리 = SDN.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
NFV	Network Functions Virtualization	방화벽·로드밸런서 등 네트워크 기능을 소프트웨어로 가상화하는 기술	전용 하드웨어 없이 범용 서버에서 네트워크 기능을 구동한다.	전용 방화벽 장비 대신 범용 서버에 방화벽 소프트웨어를 올린다.	네트워크 「기능」을 가상화.	SDN / 가상화	네트워크 기능 가상화 = NFV.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
SDP	Software Defined Perimeter	사용자 인증 후에만 자원을 노출하는 소프트웨어 정의 경계 기술	제로 트러스트 접근 제어의 구현 방식이다. Mesh Network 문제의 오답 선택지로 나온다.	인증 전에는 서버가 존재조차 보이지 않게 감춘다.	제로 트러스트의 구현 방식.	제로 트러스트 / VPN / Mesh Network	신기술 문항의 오답 선택지로 등장.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
Li-Fi	Light Fidelity	가시광선(LED)을 이용해 데이터를 전송하는 무선 통신 기술	전파 대신 빛을 쓰므로 전파 간섭이 없다. Wi-Fi보다 빠를 수 있으나 직진성 제약이 있다.	LED 조명 아래에서만 통신되는 방식 — 빛이 벽을 통과 못 해 보안에 유리.	Light — 빛으로 통신.	Wi-Fi / Scrapy	웹 크롤링 문항의 오답 선택지로 나온다.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5 오답노트출처
NFC	Near Field Communication	10cm 이내 근거리에서 데이터를 교환하는 무선 통신 기술	13.56MHz를 사용한다. 모바일 결제, 교통카드에 쓴다.	교통카드를 개찰구에 대는 그 거리 — 10cm 이내.	Near Field — 아주 가까이.	RFID / 블루투스 / 지그비	근거리 무선 기술의 거리·용도를 짝짓게 한다.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
RFID	Radio Frequency Identification	무선 주파수를 이용해 태그의 정보를 읽는 자동 인식 기술	리더와 태그로 구성된다. 물류 관리에 쓴다.	물류창고에서 박스를 지나가게만 해도 재고가 자동 집계된다.	태그와 리더 · 물류.	NFC / USN	태그 기반 인식 = RFID.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
USN	Ubiquitous Sensor Network	센서 노드가 자율적으로 정보를 수집·전달하는 유비쿼터스 센서 네트워크	환경 감시, 시설 관리에 쓴다.	산불 감시 센서를 산에 뿌려 두고 온도 이상을 자동 보고받는다.	센서 네트워크.	RFID / IoT / Mesh Network	센서 네트워크 = USN.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
IoT	Internet of Things	사물에 센서와 통신 기능을 넣어 인터넷에 연결하는 사물 인터넷 기술	M2M(사물 간 통신)에서 발전했다.	스마트 플러그로 외출 중 전등을 끄고 전력 사용량을 본다.	사물이 인터넷에 붙는다.	M2M / USN	사물 인터넷 = IoT.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
M2M	Machine to Machine	사람의 개입 없이 기계와 기계가 통신하는 기술	IoT의 기반 기술이다.	자판기가 재고가 줄면 사람 개입 없이 본사에 발주를 넣는다.	기계 대 기계.	IoT / USN	기계 간 통신 = M2M.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
Zing	Zing	기기를 가까이 대면 대용량 데이터를 초고속으로 전송하는 근거리 무선 통신 기술	키오스크에서 콘텐츠를 내려받는 데 쓴다.	키오스크에 폰을 대면 대용량 영화를 몇 초에 받는다.	가까이 대면 초고속.	NFC / Li-Fi	신기술 용어 나열형.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
SSO	Single Sign On	한 번의 인증으로 여러 시스템에 접근할 수 있게 하는 통합 인증 기술	SOLID 설계 원칙의 S와 약어가 겹쳐 오답 선택지로 자주 나온다.	회사 계정으로 로그인하면 메일·그룹웨어·인사 시스템이 한 번에 열린다.	SOLID의 S가 아니다 — 통합 인증.	단일 책임 원칙 / SOLID / 인증	SOLID 원칙 문제의 오답 선택지로 출제된다.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5 오답노트출처
MQTT	Message Queuing Telemetry Transport	저전력·저대역폭 환경을 위한 발행-구독 방식의 경량 메시징 프로토콜	IoT 통신에 널리 쓴다.	배터리로 도는 IoT 센서가 최소 전력으로 서버에 값을 발행한다.	저전력·저대역폭 발행-구독.	IoT / MOM	IoT 프로토콜로 출제.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
Wi-SUN	Wi-SUN	스마트 그리드처럼 대규모 무선 검침 인프라에 사용하는 장거리 저전력 통신 기술	스마트 유틸리티 네트워크 표준이다.	아파트 전기·수도 원격 검침망.	스마트 그리드 검침 — 장거리 저전력.	IoT / Mesh Network	신기술 용어 나열형.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
Wi-Fi	Wi-Fi	IEEE 802.11 표준을 따르는 무선 랜 기술의 상표명	Wi-Fi 얼라이언스가 인증한다. 보안 표준으로 WPA, WPA2, WPA3를 제정했다.	802.11 규격을 따르는 무선 랜의 상표명. 보안 표준 WPA·WPA2·WPA3 를 이 단체가 제정했다.	이름에 Wi-Fi가 들어간 보안 표준 = WPA.	IEEE 802.11 / WPA / Li-Fi	Wi-Fi가 제정한 보안 표준을 묻는 문제로 출제된다.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5
고가용성	High Availability, HA	시스템이 장애 없이 오랫동안 정상 운영되는 능력	Hot Standby(즉시 대기), Mutual Take-Over(상호 인수), Concurrent Access(동시 접근) 방식이 있다. 가용성 = MTBF ÷ (MTBF + MTTR)이다.	장애가 나면 30초 안에 대기 서버로 넘어가 서비스가 끊기지 않는다.	MTBF / (MTBF + MTTR).	가용성 / RAID / 데이터베이스 이중화	가용성 계산식과 구성 방식을 묻는다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
MTBF	Mean Time Between Failure	고장 사이의 평균 시간, 즉 평균 무고장 시간	클수록 신뢰성이 높다.	고장과 고장 사이 평균 무고장 시간 — 길수록 좋다.	Between Failure — 고장 「사이」.	MTTR / 고가용성	가용성 계산에 쓰인다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
MTTR	Mean Time To Repair	고장을 수리하는 데 걸리는 평균 시간	작을수록 가용성이 높다.	고장 신고부터 복구까지 평균 시간 — 짧을수록 좋다.	To Repair — 「수리까지」.	MTBF / 고가용성	가용성 계산에 쓰인다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
Secure OS	Secure Operating System	기존 운영체제에 보안 커널을 추가해 보안 기능을 강화한 운영체제	보안 기능은 식별 및 인증, 임의적·강제적 접근 통제, 객체 재사용 보호, 완전한 조정, 신뢰 경로, 감사 및 감사 기록 축소다. 참조 모니터가 핵심 요소다.	군·정부 시스템에서 커널에 강제 접근 통제를 넣어 관리자도 함부로 못 보게 한다.	보안 커널 추가 · 핵심은 참조 모니터.	MAC / 참조 모니터 / 접근 통제	보안 기능 항목 나열형.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
참조 모니터	Reference Monitor	주체가 객체에 접근할 때마다 권한을 검사하는 Secure OS의 핵심 요소	격리성, 검증 가능성, 부정 조작 방지 성질을 만족해야 한다.	주체가 객체에 접근할 때마다 빠짐없이 권한을 검사하는 문지기.	격리성·검증 가능성·부정 조작 방지.	Secure OS / 접근 통제	Secure OS의 핵심 구성 요소로 출제.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
N-Screen	N-Screen	하나의 콘텐츠를 여러 종류의 단말기에서 이어 볼 수 있게 하는 서비스	단말기 종류에 상관없이 연속 시청이 가능하다.	넷플릭스를 TV에서 보다 지하철에서 폰으로 이어 본다.	화면(Screen)이 N개.	클라우드 컴퓨팅 / 그리드 컴퓨팅	신기술 용어 나열형.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
멤리스터	Memristor	전류의 방향과 양을 기억하는 비휘발성 메모리 소자	메모리와 레지스터의 합성어다. 전원이 끊겨도 데이터가 유지된다.	전원이 끊겨도 이전 전류 이력을 기억하는 차세대 소자.	Memory + Resistor.	스토리지 / 가상화	차세대 메모리 용어.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
그리드 컴퓨팅	Grid Computing	분산된 컴퓨팅 자원을 묶어 하나의 고성능 시스템처럼 사용하는 기술	지리적으로 흩어진 자원을 가상으로 통합한다.	전국 대학의 유휴 컴퓨터를 묶어 하나의 슈퍼컴처럼 계산한다.	흩어진 자원을 묶어 쓴다.	클라우드 컴퓨팅 / 클러스터링	분산 자원 통합 = 그리드.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
클라우드 컴퓨팅	Cloud Computing	인터넷을 통해 컴퓨팅 자원을 서비스로 제공하는 기술	서비스 모델은 IaaS(인프라), PaaS(플랫폼), SaaS(소프트웨어)다. 배치 모델은 퍼블릭, 프라이빗, 하이브리드다.	AWS에서 서버를 5분 만에 띄우고 쓴 만큼만 낸다.	IaaS · PaaS · SaaS.	IaaS / PaaS / SaaS / 그리드 컴퓨팅	세 서비스 모델의 제공 범위를 바꿔 낸다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
IaaS	Infrastructure as a Service	서버·스토리지·네트워크 등 인프라를 서비스로 제공하는 클라우드 모델	사용자가 운영체제 이상을 직접 관리한다.	AWS EC2 — 빈 서버를 받고 OS부터 내가 깐다.	인프라만 빌린다.	PaaS / SaaS / 클라우드 컴퓨팅	제공 범위 문제.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
PaaS	Platform as a Service	개발 환경과 실행 플랫폼을 서비스로 제공하는 클라우드 모델	사용자는 애플리케이션만 개발·배포한다.	Heroku·App Engine — 코드만 올리면 실행 환경은 알아서 해 준다.	플랫폼까지 빌린다.	IaaS / SaaS	제공 범위 문제.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
SaaS	Software as a Service	완성된 소프트웨어를 서비스로 제공하는 클라우드 모델	사용자는 브라우저로 사용만 한다.	구글 워크스페이스·Notion — 완성품을 그냥 쓴다.	소프트웨어를 서비스로.	IaaS / PaaS	제공 범위 문제.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
가상화	Virtualization	하나의 물리 자원을 여러 논리 자원으로 나누거나 여러 자원을 하나로 묶는 기술	하이퍼바이저 기반 가상 머신과 컨테이너 기반 가상화로 나뉜다.	서버 한 대에 VM 10대를 올려 장비 비용을 줄인다.	하이퍼바이저(VM)와 컨테이너(Docker).	Docker / 하이퍼바이저 / NFV	VM과 컨테이너의 차이를 묻는다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
하이퍼바이저	Hypervisor	하나의 물리 서버에서 여러 가상 머신을 구동하게 하는 가상화 소프트웨어	Type 1(베어메탈)과 Type 2(호스트형)로 나뉜다. 각 VM이 별도의 OS를 갖는다.	VMware ESXi·KVM — VM마다 별도 OS가 돈다.	VM은 OS를 각자 갖는다.	Docker / 가상화	VM은 OS를 각각 갖고 컨테이너는 커널을 공유한다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
Docker	Docker	컨테이너 기반의 오픈소스 가상화 플랫폼	애플리케이션과 실행 환경을 격리된 컨테이너로 패키징해 배포한다. 호스트 커널을 공유하므로 VM보다 가볍다.	개발·테스트·운영에서 똑같은 컨테이너 이미지를 그대로 띄운다.	호스트 커널을 공유해 VM보다 가볍다.	하이퍼바이저 / 가상화 / Kubernetes	Cipher Container처럼 존재하지 않는 이름을 오답으로 넣는다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6 오답노트출처
Kubernetes	Kubernetes	다수의 컨테이너를 자동으로 배치·확장·관리하는 컨테이너 오케스트레이션 도구	구글이 개발해 오픈소스로 공개했다.	컨테이너 100개를 자동으로 배치하고 죽으면 다시 띄운다.	컨테이너 오케스트레이션.	Docker / 가상화	컨테이너 오케스트레이션 = 쿠버네티스.	5-6 HW · 서버 · 고가용성 (5과목)	유형_용어 과목5 챕터_5_6
Scrapy	Scrapy	파이썬 기반의 웹 크롤링 프레임워크	웹상의 URL, 링크, 데이터 등 다양한 정보 자원을 수집·분류·저장한다. 이름은 Scrap과 Python의 결합이다.	채용 공고 사이트를 매일 긁어 데이터베이스에 쌓는다.	Scrap + Python.	웹 크롤링 / Li-Fi	CrawlCat 같은 존재하지 않는 이름을 오답으로 넣는다.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_용어 과목5 챕터_5_7 오답노트출처
웹 크롤링	Web Crawling	웹상의 URL·링크·데이터 등 정보 자원을 수집해 분류·저장하는 활동	대표 프레임워크는 파이썬의 Scrapy다.	가격비교 서비스가 쇼핑몰을 돌며 가격을 수집한다.	대표 프레임워크는 Scrapy.	Scrapy / 빅데이터	크롤링 프레임워크를 묻는다.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_용어 과목5 챕터_5_7
빅데이터	Big Data	기존 방식으로 처리하기 어려운 대량·다양·고속의 데이터와 그 처리 기술	3V는 규모(Volume), 다양성(Variety), 속도(Velocity)이며 가치(Value), 정확성(Veracity)을 더해 5V라고도 한다.	카드사가 하루 수억 건 결제 로그로 이상 거래를 탐지한다.	3V(규모·다양성·속도) + 가치·정확성.	하둡 / 맵리듀스 / 데이터 마이닝	3V 또는 5V 구성 요소를 묻는다.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_용어 과목5 챕터_5_7
